business_type,industry,monthly_revenue,monthly_expenses,monthly_profit,marketing_budget,sales_channel,years_in_business,employee_count,customer_retention_rate,customer_acquisition_cost,location_type,competition_level,market_growth_rate,digital_presence_score,inventory_turnover_rate,operational_cost_ratio,average_order_value,customer_satisfaction_score,brand_strength_score,starting_budget,founder_experience_years,team_size,target_market_size,product_uniqueness_score,marketing_strategy_score,funding_type,business_model_type,scalability_score,innovation_score,customer_validation_score,future_6_month_profit
Services,Education,153655,58232,95423,16107,Online,12,78,72,88,Rural,5,14,7,1.53,0.4,671,74,98,457648,15,49,604807,6,9,Bank Loan,B2C,1,8,2,101234
Manufacturing,Construction,71527,140186,-68659,14406,Both,3,146,83,136,Rural,1,14,5,6.19,0.38,1478,69,68,79834,3,3,405522,4,9,Bootstrapped,B2C,2,6,5,-54662
Trading,IT,90276,97327,-7051,7272,Offline,10,59,92,197,Urban,1,5,7,3.34,0.78,200,80,62,129850,1,45,942037,6,8,Angel,Hybrid,5,2,7,6376
Trading,Textile,39072,40268,-1196,13114,Online,4,171,59,60,Rural,6,7,2,4.17,0.36,987,92,68,463797,11,40,77010,6,1,Bootstrapped,Hybrid,8,9,9,-1152
Services,Healthcare,69567,142277,-72710,20550,Offline,7,84,60,159,Urban,7,14,1,4.76,0.33,539,72,70,120859,19,27,358144,7,5,Angel,B2B,1,9,9,-72203
Manufacturing,IT,112245,18512,93733,23983,Online,8,86,53,74,Urban,8,5,7,7.9,0.75,1651,68,51,276369,16,14,194240,1,5,Bank Loan,B2B,3,9,3,96851
Services,IT,80962,101141,-20179,25362,Both,5,91,94,54,Urban,4,4,4,2.09,0.53,1530,86,63,84811,2,36,209722,7,6,Angel,Hybrid,6,7,6,-12987
Trading,Construction,142986,21599,121387,24703,Online,5,111,71,91,Urban,9,1,2,3.86,0.67,587,79,55,481498,5,11,329446,1,8,Bank Loan,B2B,4,7,3,118728
Services,FMCG,141646,49740,91906,19711,Both,11,50,52,132,Urban,3,8,1,2.94,0.41,647,62,68,374265,3,35,498260,1,5,Bank Loan,B2B,8,7,3,89080
Trading,IT,105868,94352,11516,17513,Online,13,27,71,157,Rural,6,14,3,3.92,0.37,936,79,72,193071,10,10,303250,8,7,Bootstrapped,B2B,9,2,6,13390
Services,Textile,56066,123556,-67490,16532,Both,7,107,91,118,Urban,8,14,1,6.87,0.7,651,66,84,279811,2,6,806828,2,7,Bootstrapped,Hybrid,1,9,1,-54580
Services,Textile,45872,36215,9657,10285,Offline,10,160,52,14,Rural,2,6,6,3.65,0.72,1853,66,73,491423,18,9,61290,2,2,Bootstrapped,B2B,9,7,8,9625
Trading,Construction,132943,78081,54862,23344,Both,5,22,64,178,Urban,3,10,7,2.2,0.82,765,78,98,119193,6,2,695546,8,4,Angel,B2C,7,8,3,67803
Services,IT,137827,148992,-11165,27707,Offline,9,155,68,87,Urban,4,7,6,2.63,0.44,779,83,83,383043,3,39,144273,7,8,VC,B2B,4,8,8,-15511
Trading,IT,167746,53506,114240,13358,Both,12,35,50,85,Urban,2,8,4,2.18,0.43,1126,89,66,241742,13,31,945536,3,5,Angel,Hybrid,8,8,2,112663
Trading,Textile,37736,102142,-64406,28905,Offline,5,137,73,168,Rural,8,5,6,2.24,0.79,769,69,52,303094,2,14,269930,4,8,Bootstrapped,B2C,5,8,2,-68719
Trading,Textile,74423,62999,11424,25556,Online,13,59,66,39,Rural,6,3,6,3.08,0.37,882,87,79,313707,4,5,821364,2,7,Bank Loan,Hybrid,3,3,2,16909
Manufacturing,Textile,57171,36043,21128,24951,Online,12,100,83,64,Urban,2,6,5,7.71,0.79,137,61,61,99334,12,46,582894,9,9,Bank Loan,Hybrid,8,8,4,33550
Services,Textile,187863,25531,162332,13551,Offline,5,171,78,155,Urban,7,1,9,7.76,0.84,103,75,52,228119,16,3,144700,3,8,Angel,B2B,3,8,7,171576
Services,FMCG,44223,111240,-67017,5519,Offline,9,59,52,33,Urban,9,11,9,5.48,0.45,701,63,60,123025,18,4,213352,2,1,VC,B2B,5,7,4,-65088
Trading,Education,66686,69947,-3261,21083,Both,13,76,60,118,Urban,2,6,8,3.29,0.48,951,89,76,415365,6,6,98781,3,2,Bank Loan,Hybrid,9,9,7,16032
Trading,Construction,140426,68785,71641,22122,Offline,10,182,66,186,Rural,1,11,6,5.07,0.6,1158,97,87,158585,10,48,838984,4,6,VC,Hybrid,8,1,8,82246
Trading,FMCG,30837,34519,-3682,25307,Online,12,189,62,98,Urban,8,14,7,7.15,0.88,1213,76,73,84839,12,32,160585,3,1,Angel,B2C,3,8,8,11878
Manufacturing,Construction,169487,138739,30748,7825,Offline,13,105,59,177,Rural,3,6,2,6.63,0.35,921,65,60,97030,10,27,844698,8,5,VC,Hybrid,3,2,2,28674
Trading,Healthcare,134881,109745,25136,27305,Offline,4,20,63,75,Rural,5,7,5,4.79,0.78,1216,96,97,95245,7,29,560079,8,4,Bootstrapped,B2C,4,6,2,32755
Services,IT,119835,94975,24860,18187,Offline,12,162,82,195,Urban,4,14,4,1.46,0.78,1350,78,61,97358,19,12,709700,4,9,VC,B2B,4,7,5,40805
Manufacturing,Food,182184,142192,39992,2636,Both,8,186,94,36,Urban,6,12,2,5.1,0.76,1925,66,54,263637,13,36,237433,7,3,Bootstrapped,Hybrid,1,6,7,43564
Manufacturing,IT,194192,141825,52367,18647,Online,3,73,68,144,Rural,2,6,2,5.55,0.61,1865,97,71,309422,11,33,637344,9,6,Angel,Hybrid,8,3,3,70989
Manufacturing,FMCG,103532,65717,37815,12568,Offline,12,157,86,188,Rural,7,7,3,2.69,0.84,740,97,68,437412,13,28,464672,6,2,Bank Loan,B2B,4,6,6,36170
Trading,Healthcare,141883,119806,22077,11631,Online,6,157,73,177,Rural,6,4,1,1.99,0.68,1418,76,78,55194,7,2,631838,3,9,Angel,B2C,8,6,8,30037
Services,Textile,99147,140953,-41806,19532,Offline,12,118,52,187,Urban,5,13,5,7.55,0.74,1602,82,79,382519,3,6,500942,3,2,Angel,Hybrid,5,9,6,-43559
Services,IT,84451,66702,17749,9028,Offline,12,177,83,139,Urban,9,4,1,7.39,0.32,386,86,51,308248,11,2,538082,9,2,Bank Loan,B2C,5,1,1,21446
Trading,Education,25229,149027,-123798,4953,Offline,3,115,50,74,Urban,5,3,4,2.14,0.75,475,95,95,80427,8,21,720186,5,3,VC,B2C,4,9,5,-112453
Trading,Construction,57996,27467,30529,4899,Offline,3,156,70,194,Rural,9,3,9,4.62,0.64,609,93,65,466805,19,18,614618,7,4,Bank Loan,B2C,8,8,8,27071
Trading,Education,65105,92164,-27059,12321,Offline,2,53,55,135,Rural,5,13,1,2.27,0.46,462,74,84,211799,3,37,892714,7,7,VC,Hybrid,4,9,6,-21908
Trading,Food,68599,21859,46740,18031,Online,13,182,89,113,Urban,1,13,1,2.39,0.43,221,76,91,429355,6,37,416713,5,9,Angel,Hybrid,2,3,3,62093
Services,Construction,84490,91543,-7053,17794,Offline,10,121,87,175,Urban,1,6,1,4.03,0.46,1122,78,84,103189,2,16,518459,5,3,Bootstrapped,B2B,5,3,2,-11181
Manufacturing,Education,160211,134268,25943,16060,Both,13,146,79,71,Urban,2,13,3,2.29,0.43,480,66,69,262998,17,33,649868,8,3,Angel,B2C,9,1,6,25316
Trading,FMCG,146208,33935,112273,5650,Online,4,66,90,190,Urban,1,8,2,4.62,0.62,1326,66,58,297680,10,9,599898,5,6,Angel,B2B,8,8,7,123766
Manufacturing,IT,64939,50833,14106,4233,Online,5,132,92,82,Rural,6,3,5,5.37,0.38,966,64,94,92301,14,14,976689,2,2,Angel,B2B,6,3,5,17060
Manufacturing,Healthcare,188551,49692,138859,19265,Both,13,140,51,96,Rural,4,4,8,4.92,0.82,215,80,87,239694,9,14,94868,2,7,Bootstrapped,Hybrid,6,3,8,157864
Trading,FMCG,142930,113015,29915,13433,Offline,11,72,78,189,Rural,2,9,8,5.09,0.78,1374,65,55,396202,2,10,887631,6,5,Bank Loan,Hybrid,2,1,7,28114
Trading,Textile,154675,102372,52303,10436,Offline,1,41,93,173,Urban,1,10,2,7.02,0.3,399,92,59,96195,5,11,677622,2,4,Bank Loan,B2C,4,1,8,62653
Services,Food,96522,114714,-18192,25723,Both,13,120,93,51,Rural,5,12,5,4.87,0.4,1938,76,78,469887,2,34,66447,6,4,Bank Loan,Hybrid,1,7,9,-19580
Trading,IT,176804,117723,59081,9091,Both,13,169,57,157,Urban,7,9,6,1.47,0.33,1783,63,88,452581,1,32,278200,5,2,Bank Loan,Hybrid,5,8,6,62324
Manufacturing,IT,124855,111724,13131,22722,Offline,2,147,90,72,Urban,1,10,2,4.66,0.65,804,99,60,110797,15,10,885967,2,7,Bank Loan,B2C,1,3,4,28454
Manufacturing,Construction,71074,18338,52736,18573,Offline,12,50,68,128,Urban,2,12,3,1.19,0.33,1727,90,62,211944,6,4,160165,9,5,VC,B2C,7,7,7,48531
Services,FMCG,59640,47369,12271,2954,Online,1,160,59,175,Rural,2,14,5,5.06,0.85,335,99,70,330324,3,19,80821,4,4,Bootstrapped,B2B,6,2,2,11429
Services,IT,39612,79505,-39893,7822,Both,10,145,79,132,Urban,8,9,6,4.21,0.32,738,81,59,146755,3,20,675475,3,9,Bootstrapped,Hybrid,4,1,4,-43967
Services,IT,73808,133265,-59457,3538,Both,4,132,85,178,Urban,6,3,7,7.82,0.79,657,95,83,468007,7,7,520803,9,1,Bank Loan,B2C,5,1,1,-41776
Services,Education,36362,49054,-12692,6473,Both,13,61,71,171,Rural,4,13,9,2.79,0.6,135,89,60,251589,1,47,721079,6,7,Bank Loan,Hybrid,6,7,5,7251
Services,Textile,47605,128054,-80449,21480,Offline,6,45,79,54,Urban,4,5,7,7.09,0.85,1705,60,57,101947,16,34,576979,3,2,Bootstrapped,Hybrid,8,6,4,-84576
Trading,Education,126437,15005,111432,8938,Online,10,178,54,132,Urban,7,1,7,1.81,0.59,906,92,51,66551,9,16,913722,8,6,VC,B2C,2,2,7,111218
Services,Construction,81904,99877,-17973,4664,Offline,14,11,84,43,Rural,3,2,2,6.71,0.75,1000,80,56,310504,13,2,850456,2,3,VC,B2C,5,4,5,-8927
Manufacturing,FMCG,195164,140721,54443,18043,Online,5,82,59,91,Rural,1,10,8,4.98,0.46,475,71,68,453736,3,14,732452,6,1,VC,Hybrid,9,7,1,50583
Trading,Food,46613,116270,-69657,12908,Both,5,43,84,172,Urban,1,14,8,4.46,0.58,333,85,60,126159,9,15,912871,7,1,VC,B2C,1,8,7,-60573
Trading,Textile,147185,103665,43520,7502,Offline,9,127,64,42,Rural,3,10,2,2.2,0.42,1269,81,74,488133,12,32,13336,2,6,VC,B2C,7,3,4,45422
Trading,Healthcare,83286,116703,-33417,13338,Both,2,142,82,109,Rural,1,1,5,7.99,0.6,493,86,56,427200,17,40,901845,9,8,Angel,B2C,6,6,9,-26873
Services,Textile,103771,69579,34192,10970,Both,8,167,60,45,Rural,7,3,3,3.63,0.6,1883,60,89,70701,9,39,323162,3,8,VC,B2C,5,2,1,45440
Trading,IT,94554,52463,42091,25098,Both,3,53,73,85,Rural,2,8,2,7.87,0.79,1506,91,98,102123,17,46,89435,8,8,Bootstrapped,Hybrid,2,4,2,37860
Trading,Food,52412,128646,-76234,16246,Offline,7,190,80,124,Rural,5,14,1,1.28,0.81,1991,60,93,323254,5,34,254884,8,8,Angel,Hybrid,2,1,2,-76763
Manufacturing,FMCG,50373,63308,-12935,22771,Offline,8,115,54,157,Urban,8,12,1,3.16,0.39,497,68,59,499271,2,4,496172,8,5,Bootstrapped,Hybrid,4,3,3,-9424
Services,IT,132254,52958,79296,13869,Offline,12,108,54,193,Rural,9,4,2,5.7,0.4,445,70,91,362960,2,22,387481,5,3,Bootstrapped,B2B,5,9,2,82578
Trading,Education,125500,92413,33087,26434,Online,14,22,50,173,Rural,6,7,8,2.78,0.45,1039,67,61,345568,3,47,959355,5,8,VC,B2C,8,6,4,50566
Trading,Education,63543,125170,-61627,23144,Online,12,110,94,10,Urban,4,9,7,7.73,0.68,1314,84,79,430207,8,29,780625,9,2,Bootstrapped,B2B,8,2,8,-49594
Trading,FMCG,141378,103240,38138,7334,Offline,12,145,61,148,Rural,1,4,6,3.52,0.67,139,85,56,199450,8,20,63285,4,3,Bank Loan,B2B,3,4,6,48129
Services,Education,81978,37140,44838,18875,Online,10,45,57,67,Rural,8,11,7,5.81,0.33,1569,82,55,214450,15,39,435947,7,6,Angel,Hybrid,2,6,2,47281
Manufacturing,Healthcare,173230,51233,121997,3289,Both,5,36,85,73,Urban,9,9,9,2.43,0.32,1711,94,92,336905,5,39,701461,3,2,Angel,B2C,6,4,9,133646
Services,Textile,142737,113065,29672,21486,Both,3,8,58,118,Urban,5,9,5,6.38,0.78,1380,62,70,222251,3,43,96879,1,2,Angel,Hybrid,2,4,6,48660
Services,Education,79857,15223,64634,25711,Both,6,111,66,17,Urban,3,8,3,6.78,0.42,948,89,74,88933,5,12,433037,5,6,Angel,B2C,7,8,3,62079
Manufacturing,Food,189065,118055,71010,4218,Both,1,82,67,153,Rural,8,3,4,3.14,0.47,180,73,51,479054,15,25,356043,8,3,Bank Loan,Hybrid,4,4,4,90190
Services,IT,116446,22905,93541,11205,Online,8,45,50,10,Urban,9,11,4,3.48,0.36,621,70,79,288357,19,43,578547,1,7,Angel,Hybrid,9,1,2,107945
Manufacturing,Healthcare,121041,58567,62474,12957,Both,6,165,55,100,Urban,6,7,2,4.13,0.4,739,61,86,288172,13,2,546028,7,8,Bank Loan,Hybrid,6,7,9,74662
Services,Education,147117,80108,67009,11147,Both,13,6,85,87,Urban,2,2,8,1.66,0.35,350,80,68,211653,3,41,465043,5,3,Bootstrapped,B2C,5,7,3,64459
Manufacturing,Food,180656,108985,71671,28306,Offline,10,153,90,125,Urban,4,6,7,2.55,0.83,1536,86,96,433315,14,8,638622,3,3,Angel,B2B,7,6,2,75703
Manufacturing,FMCG,84960,92541,-7581,4258,Online,9,195,55,54,Rural,4,10,2,6.92,0.36,881,96,51,372052,6,3,355984,6,9,VC,Hybrid,9,9,5,-1485
Services,IT,160334,54241,106093,8896,Both,3,12,74,45,Rural,3,14,2,7.94,0.75,300,69,76,157096,13,5,728971,9,1,Bank Loan,Hybrid,7,2,9,104883
Trading,Construction,106650,41347,65303,3612,Both,14,80,84,159,Urban,5,2,9,7.78,0.86,1170,99,91,281797,3,32,967540,6,3,Bank Loan,Hybrid,2,9,7,75021
Trading,FMCG,30652,101179,-70527,11560,Both,12,170,60,69,Urban,9,14,9,1.95,0.52,1412,63,82,187452,16,45,580752,6,5,Angel,Hybrid,7,1,1,-70815
Trading,Food,66311,119935,-53624,27973,Offline,6,190,61,121,Rural,2,3,4,3.37,0.9,700,79,66,260096,18,34,343593,2,7,VC,B2B,4,7,7,-51523
Manufacturing,IT,87059,148436,-61377,7352,Online,14,130,94,131,Rural,3,1,8,6.42,0.77,846,98,64,414888,18,31,848436,5,1,Bootstrapped,Hybrid,9,9,5,-42392
Services,FMCG,149145,102895,46250,19867,Online,1,43,60,106,Urban,1,9,6,3.46,0.46,755,91,64,398110,7,38,317495,2,6,VC,Hybrid,4,7,6,62376
Services,Healthcare,88373,149500,-61127,4193,Both,11,123,57,29,Urban,9,10,3,5.18,0.67,1098,61,56,198530,1,12,961015,8,1,Angel,B2B,6,4,5,-42699
Manufacturing,Food,147245,73327,73918,28535,Both,5,13,91,74,Urban,7,4,6,2.21,0.52,222,80,86,457307,6,16,234148,5,4,Bank Loan,Hybrid,1,7,7,76732
Manufacturing,FMCG,81292,48161,33131,10139,Both,13,121,88,31,Urban,6,10,6,4.98,0.34,311,65,58,305388,5,6,902338,7,5,Angel,B2B,2,9,5,37208
Services,Healthcare,126646,24947,101699,17947,Online,8,184,88,12,Urban,9,8,9,4.12,0.32,1408,63,53,367046,6,4,126967,2,1,Angel,Hybrid,2,9,5,115633
Manufacturing,Textile,182335,110701,71634,27104,Online,13,123,61,73,Urban,8,9,2,4.36,0.49,723,79,92,92483,10,41,477654,1,7,Bootstrapped,Hybrid,3,5,8,81100
Services,Construction,104711,87109,17602,16494,Offline,9,49,85,11,Urban,8,5,2,5.03,0.56,1247,97,89,395090,6,20,692566,6,9,VC,B2B,6,7,2,18431
Trading,Textile,81961,91644,-9683,29113,Online,10,184,74,49,Rural,9,8,5,4.74,0.77,1152,96,69,142419,11,23,435523,4,6,Angel,B2C,7,7,4,-2529
Services,FMCG,148452,138474,9978,27924,Online,14,74,54,161,Rural,2,6,2,5.55,0.6,980,65,52,414108,3,27,418691,9,7,VC,Hybrid,4,2,5,23579
Manufacturing,FMCG,91623,103737,-12114,13684,Offline,6,75,94,178,Urban,7,4,5,5.34,0.87,1232,60,86,455174,9,5,604345,1,7,VC,Hybrid,3,1,4,5726
Manufacturing,IT,73469,93463,-19994,17864,Both,6,11,82,142,Rural,4,4,7,7.3,0.48,1953,91,51,149407,17,13,448660,4,8,Bootstrapped,Hybrid,2,4,5,-9800
Trading,Healthcare,120168,139687,-19519,22828,Both,1,34,69,115,Rural,6,7,4,2.93,0.59,1811,78,57,65108,8,30,267617,2,5,Angel,Hybrid,3,1,8,-14053
Services,Construction,115525,42927,72598,13680,Both,3,29,55,58,Urban,1,5,4,4.94,0.9,1017,83,82,486162,17,40,211183,1,9,Bootstrapped,Hybrid,8,3,4,85978
Trading,Construction,60072,126065,-65993,28736,Both,12,83,82,76,Rural,2,10,1,2.41,0.64,1358,74,88,492567,10,39,783979,5,5,Bank Loan,Hybrid,1,6,6,-46515
Services,IT,22578,21551,1027,23000,Both,9,25,73,104,Urban,8,10,4,1.18,0.41,1131,68,95,199888,14,13,450867,6,5,Angel,Hybrid,4,3,2,-2346
Manufacturing,FMCG,40990,112113,-71123,10403,Online,1,197,75,98,Rural,4,10,4,2.28,0.42,1898,99,94,131845,4,44,240872,8,2,Angel,Hybrid,8,8,5,-60825
Trading,Construction,92934,19278,73656,9925,Both,10,74,94,127,Rural,9,2,8,4.69,0.63,416,73,79,67041,14,37,516804,6,7,Bank Loan,Hybrid,1,7,6,83283
Manufacturing,Construction,91108,106342,-15234,29834,Offline,8,96,55,142,Rural,6,9,1,6.28,0.68,1500,74,68,269237,5,27,90431,9,9,Bank Loan,B2C,6,8,9,2219
Services,Education,39640,106964,-67324,12871,Both,2,116,52,50,Rural,4,2,3,7.07,0.46,1387,62,72,97342,1,49,747691,6,3,Bootstrapped,B2C,2,4,9,-58086
Manufacturing,Construction,62453,26021,36432,9607,Offline,5,156,83,58,Rural,3,7,4,7.33,0.37,170,92,68,52641,9,19,742034,3,4,Bootstrapped,Hybrid,7,7,9,32918
Trading,IT,122014,106765,15249,24900,Both,2,106,55,117,Rural,5,14,6,6.56,0.38,118,73,50,129859,7,40,203837,4,7,VC,B2B,2,8,8,29870
Trading,Healthcare,36964,67473,-30509,24465,Offline,10,92,75,25,Urban,9,6,6,3.19,0.61,943,68,98,89401,8,32,152120,7,9,Bank Loan,B2C,8,9,9,-35134
Trading,Food,72960,90422,-17462,3737,Offline,2,50,93,13,Rural,6,13,4,3.79,0.31,1044,90,91,340774,16,10,704186,6,9,VC,B2B,9,4,8,-17931
Services,Construction,93967,51022,42945,26011,Online,4,34,61,50,Rural,7,11,8,1.13,0.44,1908,84,92,81935,19,46,969618,9,4,VC,B2B,8,4,2,44347
Services,Textile,194316,149938,44378,12851,Offline,12,39,82,109,Urban,9,7,6,2.36,0.44,873,90,68,414105,10,22,383630,8,9,Bootstrapped,B2C,2,7,2,40228
Manufacturing,IT,46125,116095,-69970,4856,Online,12,152,83,134,Urban,4,5,8,4.54,0.5,270,94,57,261541,11,39,918945,8,7,VC,B2B,2,4,5,-73975
Manufacturing,Textile,114569,58229,56340,22587,Online,12,134,91,73,Urban,3,5,1,5.55,0.55,793,90,88,121047,3,48,917339,1,2,VC,B2B,1,9,4,60189
Manufacturing,Education,170790,98982,71808,27240,Offline,9,42,86,131,Rural,1,4,5,1.85,0.38,1462,78,93,386918,17,3,830618,1,9,Bank Loan,B2B,9,3,3,81484
Manufacturing,Food,69792,91932,-22140,25585,Both,13,82,68,97,Urban,8,1,2,1.82,0.45,1268,97,75,137036,11,41,963516,8,7,VC,B2B,8,8,3,-14738
Manufacturing,IT,145377,119323,26054,14932,Online,2,99,76,161,Rural,8,13,4,7.11,0.9,146,64,54,322047,9,48,963533,4,1,VC,B2B,8,1,7,43005
Manufacturing,Education,178939,49620,129319,4000,Both,4,123,94,145,Urban,2,13,9,5.29,0.63,849,77,69,315059,19,6,857841,1,4,Angel,B2B,6,6,2,129074
Services,FMCG,75877,32817,43060,2080,Both,2,168,84,136,Urban,5,3,8,7.43,0.56,1728,67,90,319937,7,11,514381,1,4,Bootstrapped,B2B,4,4,7,53932
Manufacturing,Healthcare,41983,97596,-55613,12482,Offline,10,185,54,97,Urban,2,14,8,7.85,0.74,1736,73,54,490572,9,23,391306,1,8,Bank Loan,B2C,1,2,6,-59489
Trading,Textile,94988,65182,29806,22735,Both,11,44,81,114,Urban,7,13,3,2.56,0.43,444,72,61,123992,8,10,95567,5,9,Bootstrapped,B2B,6,6,6,30632
Services,Textile,186502,30966,155536,8923,Offline,13,10,94,99,Rural,5,4,8,2.4,0.45,1846,98,61,243980,4,43,407659,9,5,Angel,B2B,3,2,6,154794
Trading,FMCG,192797,19806,172991,15780,Online,7,80,70,32,Rural,6,14,1,6.79,0.32,1070,91,52,253001,2,31,593611,2,7,Bootstrapped,Hybrid,6,9,5,172834
Services,FMCG,84048,89225,-5177,17356,Online,11,23,92,39,Urban,5,7,4,3.72,0.63,768,70,99,276725,15,33,131946,6,4,Angel,B2B,1,9,3,-3395
Manufacturing,Healthcare,124733,81221,43512,7027,Both,14,187,85,180,Urban,4,9,6,2.67,0.68,1365,73,73,390074,2,35,259904,7,8,Angel,B2B,5,9,4,54269
Manufacturing,Healthcare,111680,110763,917,24714,Online,12,195,86,197,Rural,9,6,8,4.22,0.46,185,79,89,164115,11,37,728283,7,7,Bank Loan,B2B,8,7,8,13041
Services,Food,161919,146663,15256,24547,Offline,3,16,58,133,Rural,8,9,5,6.34,0.57,977,77,78,97238,8,38,149639,6,4,Bank Loan,Hybrid,7,8,9,34678
Manufacturing,Healthcare,75495,68968,6527,20407,Both,13,165,71,59,Urban,6,11,2,6.87,0.58,1450,70,96,314729,17,22,398528,9,5,Angel,B2B,5,4,3,15438
Trading,FMCG,154198,54680,99518,25428,Online,5,30,50,10,Urban,6,6,9,4.95,0.31,1620,81,69,176347,6,30,463484,8,8,Bank Loan,B2C,3,9,4,117749
Manufacturing,FMCG,108796,34959,73837,20958,Offline,7,185,57,56,Rural,1,11,4,5.87,0.89,1276,60,91,57098,18,34,19062,2,9,VC,B2B,8,1,3,88049
Services,Healthcare,120554,52439,68115,2984,Online,12,84,91,95,Rural,2,3,9,7.22,0.5,1851,78,63,112785,11,27,535383,3,8,Angel,B2C,6,1,2,68125
Manufacturing,Education,180732,58885,121847,12255,Online,14,50,54,52,Rural,2,10,6,5.86,0.81,1580,72,70,278150,12,3,750226,5,1,Angel,B2B,4,4,2,129296
Services,Education,147192,91524,55668,16616,Online,6,147,66,166,Urban,1,8,1,1.14,0.38,1111,83,82,258007,19,12,125126,1,5,VC,B2C,4,4,5,69867
Trading,Construction,183439,129337,54102,20293,Online,12,5,76,128,Rural,8,14,2,5.85,0.64,334,97,83,366882,2,35,969276,3,5,Bootstrapped,Hybrid,6,5,1,73534
Services,IT,39228,82872,-43644,16013,Offline,10,130,56,54,Urban,6,9,2,3.6,0.55,1372,91,92,152345,17,28,100864,6,5,Bank Loan,B2C,6,6,4,-40798
Manufacturing,Food,149465,70303,79162,12309,Both,2,181,89,95,Urban,9,5,8,4.72,0.56,1722,79,62,132005,9,16,125998,9,9,VC,B2C,5,4,6,97942
Services,Textile,75310,47955,27355,23214,Both,10,149,54,150,Urban,5,5,3,5.01,0.68,1445,80,90,440269,2,31,680784,3,4,VC,Hybrid,9,5,2,45116
Services,Textile,36473,71209,-34736,15461,Offline,12,192,61,46,Urban,2,7,7,7.77,0.3,989,62,95,442708,13,25,994859,1,6,Bootstrapped,B2B,3,5,2,-37296
Services,FMCG,127843,31213,96630,25921,Both,2,173,76,85,Urban,5,5,6,7.75,0.47,748,91,68,255859,15,10,440607,8,6,VC,Hybrid,8,1,4,97114
Trading,Healthcare,104905,115154,-10249,27121,Both,2,17,92,66,Rural,6,7,4,4.36,0.46,1841,89,83,204902,16,18,101470,7,4,Angel,Hybrid,4,3,9,-10094
Services,Food,62607,124555,-61948,19287,Online,10,124,64,142,Urban,7,12,3,4.6,0.73,811,81,99,471525,18,20,384138,5,1,VC,B2B,9,3,1,-57890
Services,Food,99504,54970,44534,3608,Both,7,137,58,124,Rural,8,8,4,5.51,0.42,828,60,73,221071,3,33,578865,1,9,Angel,B2C,3,7,3,51041
Services,Textile,37176,141423,-104247,19306,Online,10,80,67,145,Urban,2,6,7,1.34,0.68,1148,89,51,249184,13,8,583717,4,9,Bootstrapped,B2C,1,7,5,-85115
Manufacturing,Construction,51812,43709,8103,7185,Offline,11,68,92,162,Urban,4,6,3,1.44,0.37,1670,74,71,336412,17,31,837284,9,9,VC,B2C,8,6,9,19453
Trading,Construction,184988,128047,56941,17327,Online,1,109,73,17,Urban,6,9,8,6.16,0.49,706,72,79,224394,16,13,167268,8,2,Bank Loan,B2B,5,1,5,65488
Services,IT,177206,82904,94302,26137,Online,3,106,77,138,Rural,3,8,9,2.49,0.62,1130,70,57,220381,14,37,59907,9,8,Bank Loan,B2B,4,6,9,107778
Services,Construction,69391,117669,-48278,3309,Online,6,191,70,149,Rural,7,2,8,7.67,0.74,844,74,83,238547,2,39,754875,7,9,Bootstrapped,B2C,6,6,5,-34307
Services,Construction,189401,101939,87462,22099,Offline,10,31,69,173,Urban,5,1,2,3.95,0.8,800,60,80,63586,2,5,560575,1,5,VC,B2C,2,8,6,88567
Services,Education,76907,99336,-22429,2721,Both,4,167,74,186,Urban,7,9,9,1.02,0.35,512,66,97,184759,3,22,514492,4,9,Bootstrapped,B2B,9,4,2,-12200
Manufacturing,Textile,39552,66186,-26634,14260,Online,6,13,69,157,Rural,4,1,3,1.43,0.39,621,68,98,148189,7,19,656185,9,4,Bank Loan,B2C,3,7,6,-10065
Trading,FMCG,39338,23455,15883,21675,Offline,7,138,63,133,Urban,8,9,8,5.17,0.66,321,81,51,165160,5,4,456200,7,9,Bootstrapped,B2C,7,8,5,20203
Manufacturing,IT,104153,128693,-24540,7499,Offline,8,98,81,87,Rural,7,1,4,4.34,0.79,652,74,71,390570,2,34,684964,8,4,Bootstrapped,B2C,1,4,5,-29071
Manufacturing,Construction,192731,20152,172579,25401,Both,14,9,90,182,Rural,7,13,5,6.92,0.61,817,76,84,53857,12,42,350111,2,6,Bootstrapped,B2C,2,3,1,191920
Manufacturing,Construction,138609,38618,99991,13269,Both,4,59,71,80,Urban,2,6,1,2.99,0.76,711,79,86,257559,14,21,677768,3,9,Angel,B2B,2,6,5,111172
Trading,IT,49796,56966,-7170,7278,Both,6,174,69,165,Rural,9,4,8,1.96,0.48,1989,96,83,325279,15,26,65132,4,5,Angel,B2C,3,7,5,304
Trading,Education,140155,142404,-2249,6550,Both,4,11,82,56,Urban,2,14,3,2.24,0.6,1210,69,74,432357,13,16,185335,4,7,Bank Loan,Hybrid,6,8,1,6348
Manufacturing,Textile,85720,119722,-34002,3371,Both,2,67,56,197,Urban,8,4,3,4.88,0.58,478,98,92,387127,10,44,469488,4,7,VC,B2C,6,3,3,-21309
Manufacturing,Construction,161723,138293,23430,28949,Offline,14,133,53,162,Rural,7,11,6,4.61,0.73,709,77,58,427389,12,10,928720,7,7,VC,B2B,2,4,8,35127
